_id,text,time,location,user
5faefbfaa3af1cae40abfba7,RT disneyplus The strength of family will build an unstoppable team Watch the brand new trailer for Safety the inspiring true story of ,Fri Nov 13 21:14:26 +0000 2020,null,JeffQuinton
5faefbfaa3af1cae40abfba8,RT josstheboss The Chinese Flu is looking very American ,Fri Nov 13 21:14:26 +0000 2020,null,helloitsholland
5faefbfaa3af1cae40abfba9,RT TravHeem they microchipped u bro don t say the wrong thing it s got a kill chip,Fri Nov 13 21:14:26 +0000 2020,null,24HFINESSE
5faefbfaa3af1cae40abfbaa,RT seanmdav Anthony Fauci told me masks don t work and the China Lung was no worse than the flu ,Fri Nov 13 21:14:26 +0000 2020,null,DreadBobby1
5faefbfaa3af1cae40abfbab, GovStitt MasksAreUseless No diff than the flu ,Fri Nov 13 21:14:26 +0000 2020,null,SassieSpeaks
5faefbfaa3af1cae40abfbac,If you still think the flu and covid are the same thing then you re a special kind of stupid ,Fri Nov 13 21:14:26 +0000 2020,null,GaelicDream30
5faefbfaa3af1cae40abfbad,People who are willing to trade freedom for safety under a tyrannical government will wake up one day to find they have neither ,Fri Nov 13 21:14:26 +0000 2020,null,alleycaterpie
5faefbfaa3af1cae40abfbae,RT josstheboss The Chinese Flu is looking very American ,Fri Nov 13 21:14:26 +0000 2020,null,blessmy_sins
5faefbfba3af1cae40abfbaf,RT oneandonlyvann WALANG MATUTULOG KASAMA NYO KAMI SA PAG SIGAW NG SAKLOLO Please spare some time to pray for the health and safety of ,Fri Nov 13 21:14:26 +0000 2020,null,jameacantos
5faefbfba3af1cae40abfbb0,RT seanmdav Anthony Fauci told me masks don t work and the China Lung was no worse than the flu ,Fri Nov 13 21:14:26 +0000 2020,null,DavidB97206147
5faefbfba3af1cae40abfbb1,RT oneandonlyvann WALANG MATUTULOG KASAMA NYO KAMI SA PAG SIGAW NG SAKLOLO Please spare some time to pray for the health and safety of ,Fri Nov 13 21:14:26 +0000 2020,null,Punyahamnida
5faefbfba3af1cae40abfbb2,They fucking shouldn t And none of it excuses Congressional Leadership from holding a big fucking party in the mid ,Fri Nov 13 21:14:26 +0000 2020,null,WillMcAvoyACN
5faefbfba3af1cae40abfbb3, elonmusk I just call it the flu ,Fri Nov 13 21:14:26 +0000 2020,null,CollinThest
5faefbfba3af1cae40abfbb4,RT YorubaBoyMedia God abeg send me to Canada Need to go and preach the gospel for you ,Fri Nov 13 21:14:27 +0000 2020,null,e_rextm
5faefbfda3af1cae40abfbb5,RT seanmdav Anthony Fauci told me masks don t work and the China Lung was no worse than the flu ,Fri Nov 13 21:14:27 +0000 2020,null,JoLissa13
5faefbfda3af1cae40abfbb6,RT oneandonlyvann WALANG MATUTULOG KASAMA NYO KAMI SA PAG SIGAW NG SAKLOLO Please spare some time to pray for the health and safety of ,Fri Nov 13 21:14:27 +0000 2020,null,nstevenvr
5faefbfda3af1cae40abfbb7,RT SirdiqTuco Return our Firearms For our Safety is Paramount EndviolenceInNigeria ,Fri Nov 13 21:14:27 +0000 2020,null,Isah_Mustie
5faefbfda3af1cae40abfbb8,RT MammaBearCards RT follow me and tag 2 friends to win this NightIn PamperPack and a selection of my exclusive wax melts Scents incl ,Fri Nov 13 21:14:27 +0000 2020,null,annasmith92
5faefbfda3af1cae40abfbb9, TheQuartering Ubisoft Canada swatted ,Fri Nov 13 21:14:27 +0000 2020,null,TyTannenbaum
5faefbfda3af1cae40abfbba,Night comes with darkness but that darkness is so romantic Sometimes Canada ,Fri Nov 13 21:14:27 +0000 2020,null,archimaticx
5faefbfda3af1cae40abfbbb,RT seanmdav Anthony Fauci told me masks don t work and the China Lung was no worse than the flu ,Fri Nov 13 21:14:27 +0000 2020,null,LM_Ginger_Kitty
5faefbfea3af1cae40abfbbc,RT seanmdav Anthony Fauci told me masks don t work and the China Lung was no worse than the flu ,Fri Nov 13 21:14:27 +0000 2020,null,DaveDixonDFW
5faefbfea3af1cae40abfbbd,RT oneandonlyvann WALANG MATUTULOG KASAMA NYO KAMI SA PAG SIGAW NG SAKLOLO Please spare some time to pray for the health and safety of ,Fri Nov 13 21:14:27 +0000 2020,null,iceyyelloww
5faefbfea3af1cae40abfbbe,RT AFPFactCheck This is a fake article Canada s PM Justin Trudeau has expressed confidence in the US election system and said he wil ,Fri Nov 13 21:14:27 +0000 2020,null,LanceAndrews
5faefbfea3af1cae40abfbbf,RT AbolitionF ists MA request Our comrade Bl3ssing formerly known as Prof Ound just moved and is navigating so many transitions at ,Fri Nov 13 21:14:28 +0000 2020,null,OBSlicedBread
5faefbfea3af1cae40abfbc0,Same feelings CagayanNeedHelps TuguegaraoNeedsHelp IsabelaNeedsHelp,Fri Nov 13 21:14:28 +0000 2020,null,RyzChys
5faefbfea3af1cae40abfbc1,RT disclosetv BREAKING Dozens of people are being held hostage on the rooftop of the Ubisoft building in Montreal Canada ,Fri Nov 13 21:14:28 +0000 2020,null,AClark93088221
5faefbfea3af1cae40abfbc2,RT josstheboss The Chinese Flu is looking very American ,Fri Nov 13 21:14:28 +0000 2020,null,saintdia666low
5faefbfea3af1cae40abfbc3,RT TinyMuslimah Defund the Police is too frightening and radical but politicians wake up every day defunding schools closing hospitals ,Fri Nov 13 21:14:28 +0000 2020,null,evanskaufman
5faefbfea3af1cae40abfbc4,RT seanmdav Anthony Fauci told me masks don t work and the China Lung was no worse than the flu ,Fri Nov 13 21:14:28 +0000 2020,null,JKearby
5faefbfea3af1cae40abfbc5,RT Babble IAN DUNT THIS IS THE POLICE COME OUT WITH YOUR HANDS UP,Fri Nov 13 21:14:28 +0000 2020,null,HornyNooting
5faefbfea3af1cae40abfbc6,RT libertytarian Biden s pick for COVID Czar Osterholm was key to Operation DarkWinter in 2001 Lockdown2 will be more like Dark Wint ,Fri Nov 13 21:14:28 +0000 2020,null,auntfifi4trump
5faefbfea3af1cae40abfbc7,RT SoftyKimTae I can t sleep rn because i can t unhear the screaming of help of those people The flood is currently 15 ft high and many ,Fri Nov 13 21:14:28 +0000 2020,null,bluestarlight21
5faefbfea3af1cae40abfbc8,RT DAINTYBRENT the nation is enraged people are dying and with this almost none of us can sleep but this man who can do so much more th ,Fri Nov 13 21:14:28 +0000 2020,null,CAMERlEGO
5faefbfea3af1cae40abfbc9,RT KEEMSTAR OMG im sooo sick i got the AIDS FLU GONAREIA,Fri Nov 13 21:14:28 +0000 2020,null,chomsky_chrome
5faefbfea3af1cae40abfbca, squawksquare WSJ Probably designed with razor thin safety margins to safe costs Then this happens ,Fri Nov 13 21:14:28 +0000 2020,null,ZillAndreas
5faefbfea3af1cae40abfbcb,Watch Santa Clara County tightens rules for high risk indoor activities as coronavirus cases rise Nov 13 ,Fri Nov 13 21:14:29 +0000 2020,null,whatnew2day
5faefbfea3af1cae40abfbcc,RT kimsmolina CagayanNeedsHelp Please spread the word Residents are suffering from high flood and are begging for help even at ,Fri Nov 13 21:14:29 +0000 2020,null,peng_cub
5faefbfea3af1cae40abfbcd, Rainbow siege,Fri Nov 13 21:14:29 +0000 2020,null,ericzlewis
5faefbffa3af1cae40abfbce,this album sounds 100x better in winter for some reason ,Fri Nov 13 21:14:29 +0000 2020,null,moudxi
5faefbffa3af1cae40abfbcf,Michigan governor seeks shutdown of Enbridge pipeline in Great Lakes CBC News ,Fri Nov 13 21:14:29 +0000 2020,null,LoriCam92323479
5faefbffa3af1cae40abfbd0,Yeah The governor just gave untold people an excuse to not behave during this next wave GavinNewsom leadershi ,Fri Nov 13 21:14:29 +0000 2020,null,KoboldCurryChef
5faefbffa3af1cae40abfbd1,Maybe instead of hosting a indoor dinner for new members House leaders could buy takeout from a bunch of DC resta ,Fri Nov 13 21:14:29 +0000 2020,null,derekwillis
5faefbffa3af1cae40abfbd2,When you are out with your mom to run errands and she is taking her sweet ass time Come on Lisa there is a pandem ,Fri Nov 13 21:14:29 +0000 2020,null,Weirdofrompluto
5faefbffa3af1cae40abfbd3,RT CivilAdvantage1 The liberal party and JustinTrudeau are not what Canada is about They are remarkably unCanadian ,Fri Nov 13 21:14:29 +0000 2020,null,MemphisMeteor
5faefbffa3af1cae40abfbd4,RT JFKjrQ THE TIME IS UP THE STORM IT STARTS IN 30 MINUTES TRUMP CARD FOX NEWS OAN TV USA ,Fri Nov 13 21:14:29 +0000 2020,null,azkikr3
5faefbffa3af1cae40abfbd5, RationalChicago Exactly The Spanish flu was very deadly while covid Mimicks the normal death curve ,Fri Nov 13 21:14:29 +0000 2020,null,LionTedPride
